"date_test" "Background" "Allele" "Sex" "Fly" "receptor" "Sugar_before_salt" "PERA_group" "used_wt_2x" "salt_conc" "salt_type" "subject" "time" "PER" "tastant"
"wt_sam_f_4.5_y_1_100_prob.3" "4.5" "sam" "wt" "f" 1 "prob" "y" "e3" "n" 100 "NaCl" "wt_sam_f_4.5_y_1_100_prob" 3 0 "Salt"
"wt_sam_f_4.5_y_1_100_prob.4" "4.5" "sam" "wt" "f" 1 "prob" "y" "e3" "n" 100 "NaCl" "wt_sam_f_4.5_y_1_100_prob" 4 0 "H2O"
"wt_sam_f_4.5_y_1_100_prob.5" "4.5" "sam" "wt" "f" 1 "prob" "y" "e3" "n" 100 "NaCl" "wt_sam_f_4.5_y_1_100_prob" 5 0 "Sugar"
"wt_sam_f_4.5_y_1_100_prob.6" "4.5" "sam" "wt" "f" 1 "prob" "y" "e3" "n" 100 "NaCl" "wt_sam_f_4.5_y_1_100_prob" 6 0 "Salt"
"wt_sam_f_4.5_y_1_100_prob.7" "4.5" "sam" "wt" "f" 1 "prob" "y" "e3" "n" 100 "NaCl" "wt_sam_f_4.5_y_1_100_prob" 7 NA "H2O"
"sde3_sam_m_4.5_y_1_100_prob.1" "4.5" "sam" "sde3" "m" 1 "prob" "y" "e3" "n" 100 "NaCl" "sde3_sam_m_4.5_y_1_100_prob" 1 0 "H2O"
"sde3_sam_m_4.5_y_1_100_prob.2" "4.5" "sam" "sde3" "m" 1 "prob" "y" "e3" "n" 100 "NaCl" "sde3_sam_m_4.5_y_1_100_prob" 2 1 "Sugar"
"sde3_sam_m_4.5_y_1_100_prob.3" "4.5" "sam" "sde3" "m" 1 "prob" "y" "e3" "n" 100 "NaCl" "sde3_sam_m_4.5_y_1_100_prob" 3 1 "Salt"
"sde3_sam_m_4.5_y_1_100_prob.4" "4.5" "sam" "sde3" "m" 1 "prob" "y" "e3" "n" 100 "NaCl" "sde3_sam_m_4.5_y_1_100_prob" 4 0 "H2O"
"sde3_sam_m_4.5_y_1_100_prob.5" "4.5" "sam" "sde3" "m" 1 "prob" "y" "e3" "n" 100 "NaCl" "sde3_sam_m_4.5_y_1_100_prob" 5 1 "Sugar"
"sde3_sam_m_4.5_y_1_100_prob.6" "4.5" "sam" "sde3" "m" 1 "prob" "y" "e3" "n" 100 "NaCl" "sde3_sam_m_4.5_y_1_100_prob" 6 0 "Salt"
"sde3_sam_m_4.5_y_1_100_prob.7" "4.5" "sam" "sde3" "m" 1 "prob" "y" "e3" "n" 100 "NaCl" "sde3_sam_m_4.5_y_1_100_prob" 7 NA "H2O"
"wt_sam_m_4.5_y_1_100_prob.1" "4.5" "sam" "wt" "m" 1 "prob" "y" "e3" "n" 100 "NaCl" "wt_sam_m_4.5_y_1_100_prob" 1 0 "H2O"
"wt_sam_m_4.5_y_1_100_prob.2" "4.5" "sam" "wt" "m" 1 "prob" "y" "e3" "n" 100 "NaCl" "wt_sam_m_4.5_y_1_100_prob" 2 0 "Sugar"
"wt_sam_m_4.5_y_1_100_prob.3" "4.5" "sam" "wt" "m" 1 "prob" "y" "e3" "n" 100 "NaCl" "wt_sam_m_4.5_y_1_100_prob" 3 0 "Salt"
"wt_sam_m_4.5_y_1_100_prob.4" "4.5" "sam" "wt" "m" 1 "prob" "y" "e3" "n" 100 "NaCl" "wt_sam_m_4.5_y_1_100_prob" 4 0 "H2O"
"wt_sam_m_4.5_y_1_100_prob.5" "4.5" "sam" "wt" "m" 1 "prob" "y" "e3" "n" 100 "NaCl" "wt_sam_m_4.5_y_1_100_prob" 5 0 "Sugar"
"wt_sam_m_4.5_y_1_100_prob.6" "4.5" "sam" "wt" "m" 1 "prob" "y" "e3" "n" 100 "NaCl" "wt_sam_m_4.5_y_1_100_prob" 6 0 "Salt"
"wt_sam_m_4.5_y_1_100_prob.7" "4.5" "sam" "wt" "m" 1 "prob" "y" "e3" "n" 100 "NaCl" "wt_sam_m_4.5_y_1_100_prob" 7 NA "H2O"
"etx4_ore_f_6.13_y_1_100_prob.1" "6.13" "ore" "etx4" "f" 1 "prob" "y" "etx4" "n" 100 "NaCl" "etx4_ore_f_6.13_y_1_100_prob" 1 0 "H2O"
"etx4_ore_f_6.13_y_1_100_prob.2" "6.13" "ore" "etx4" "f" 1 "prob" "y" "etx4" "n" 100 "NaCl" "etx4_ore_f_6.13_y_1_100_prob" 2 0 "Sugar"
"etx4_ore_f_6.13_y_1_100_prob.3" "6.13" "ore" "etx4" "f" 1 "prob" "y" "etx4" "n" 100 "NaCl" "etx4_ore_f_6.13_y_1_100_prob" 3 1 "Salt"
"etx4_ore_f_6.13_y_1_100_prob.4" "6.13" "ore" "etx4" "f" 1 "prob" "y" "etx4" "n" 100 "NaCl" "etx4_ore_f_6.13_y_1_100_prob" 4 0 "H2O"
"etx4_ore_f_6.13_y_1_100_prob.5" "6.13" "ore" "etx4" "f" 1 "prob" "y" "etx4" "n" 100 "NaCl" "etx4_ore_f_6.13_y_1_100_prob" 5 1 "Sugar"
"etx4_ore_f_6.13_y_1_100_prob.6" "6.13" "ore" "etx4" "f" 1 "prob" "y" "etx4" "n" 100 "NaCl" "etx4_ore_f_6.13_y_1_100_prob" 6 1 "Salt"
"etx4_ore_f_6.13_y_1_100_prob.7" "6.13" "ore" "etx4" "f" 1 "prob" "y" "etx4" "n" 100 "NaCl" "etx4_ore_f_6.13_y_1_100_prob" 7 0 "H2O"
"wt_ore_f_6.13_y_1_100_prob.1" "6.13" "ore" "wt" "f" 1 "prob" "y" "etx4" "n" 100 "NaCl" "wt_ore_f_6.13_y_1_100_prob" 1 0 "H2O"
"wt_ore_f_6.13_y_1_100_prob.2" "6.13" "ore" "wt" "f" 1 "prob" "y" "etx4" "n" 100 "NaCl" "wt_ore_f_6.13_y_1_100_prob" 2 1 "Sugar"
"wt_ore_f_6.13_y_1_100_prob.3" "6.13" "ore" "wt" "f" 1 "prob" "y" "etx4" "n" 100 "NaCl" "wt_ore_f_6.13_y_1_100_prob" 3 1 "Salt"
"wt_ore_f_6.13_y_1_100_prob.4" "6.13" "ore" "wt" "f" 1 "prob" "y" "etx4" "n" 100 "NaCl" "wt_ore_f_6.13_y_1_100_prob" 4 0 "H2O"
"wt_ore_f_6.13_y_1_100_prob.5" "6.13" "ore" "wt" "f" 1 "prob" "y" "etx4" "n" 100 "NaCl" "wt_ore_f_6.13_y_1_100_prob" 5 0 "Sugar"
"wt_ore_f_6.13_y_1_100_prob.6" "6.13" "ore" "wt" "f" 1 "prob" "y" "etx4" "n" 100 "NaCl" "wt_ore_f_6.13_y_1_100_prob" 6 0 "Salt"
"wt_ore_f_6.13_y_1_100_prob.7" "6.13" "ore" "wt" "f" 1 "prob" "y" "etx4" "n" 100 "NaCl" "wt_ore_f_6.13_y_1_100_prob" 7 0 "H2O"
"etx4_sam_f_6.13_y_1_100_prob.1" "6.13" "sam" "etx4" "f" 1 "prob" "y" "etx4" "n" 100 "NaCl" "etx4_sam_f_6.13_y_1_100_prob" 1 0 "H2O"
"etx4_sam_f_6.13_y_1_100_prob.2" "6.13" "sam" "etx4" "f" 1 "prob" "y" "etx4" "n" 100 "NaCl" "etx4_sam_f_6.13_y_1_100_prob" 2 0 "Sugar"
"etx4_sam_f_6.13_y_1_100_prob.3" "6.13" "sam" "etx4" "f" 1 "prob" "y" "etx4" "n" 100 "NaCl" "etx4_sam_f_6.13_y_1_100_prob" 3 0 "Salt"
"etx4_sam_f_6.13_y_1_100_prob.4" "6.13" "sam" "etx4" "f" 1 "prob" "y" "etx4" "n" 100 "NaCl" "etx4_sam_f_6.13_y_1_100_prob" 4 0 "H2O"
"etx4_sam_f_6.13_y_1_100_prob.5" "6.13" "sam" "etx4" "f" 1 "prob" "y" "etx4" "n" 100 "NaCl" "etx4_sam_f_6.13_y_1_100_prob" 5 0 "Sugar"
"etx4_sam_f_6.13_y_1_100_prob.6" "6.13" "sam" "etx4" "f" 1 "prob" "y" "etx4" "n" 100 "NaCl" "etx4_sam_f_6.13_y_1_100_prob" 6 1 "Salt"
"etx4_sam_f_6.13_y_1_100_prob.7" "6.13" "sam" "etx4" "f" 1 "prob" "y" "etx4" "n" 100 "NaCl" "etx4_sam_f_6.13_y_1_100_prob" 7 0 "H2O"
