Date	Geno	Sex	Fly_num	h201	SOR	suc_1	SOR	KCl_1	SOR	h20_2	SOR	suc_2	SOR	KCl_2	SOR	h20_3	SOR	Sucrose_before_salt	Wetted_Flug
27-Nov	orewt	f	2	1	S	1	S	1	S	0	0	1	S	1	S	0	0	n	n
27-Nov	orewt	f	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	n
27-Nov	orewt	f	4	0	0	1	S	1	S	1	S	1	S	1	S	0	0	n	n
27-Nov	orewt	f	5	0	0	1	S	0	0	1	S	0	0	0	0	0	0	n	n
27-Nov	orewt	f	6	0	0	1	S	0	0	0	0	0	0	1	S	0	0	n	n
27-Nov	samwt	f	1	0	0	1	S	1	S	0	0	1	S	0	0	0	0	n	y
27-Nov	samwt	f	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	y
27-Nov	samwt	f	3	0	0	0	0	0	0	0	0	1	w	1	w	1	w	n	y
27-Nov	samwt	f	4	0	0	0	0	0	0	0	0	1	w	1	w	0	0	n	y
27-Nov	samwt	f	5	0	0	1	w	1	w	0	0	1	S	0	0	1	S	n	y
27-Nov	samwt	f	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	y
27-Nov	samwt	f	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	y
27-Nov	samwt	f	8	0	0	0	0	0	0	1	w	1	w	0	0	1	w	n	y
27-Nov	samwt	f	9	1	S	1	S	1	S	1	S	1	S	1	S	1	S	n	y
27-Nov	samwt	f	10	0	0	1	S	0	0	0	0	0	0	0	0	0	0	n	y
27-Nov	samwt	f	11	0	0	1	S	0	0	0	0	0	0	0	0	0	0	n	y
27-Nov	samwt	f	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	y
27-Nov	samwt	f	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	n
27-Nov	samwt	f	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	n
27-Nov	samwt	f	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	n
27-Nov	samwt	f	4	1	w	1	S	1	w	1	w	1	w	1	w	1	w	n	n
27-Nov	samwt	f	5	0	0	1	S	1	S	0	0	0	0	0	0	0	0	n	n
27-Nov	samwt	f	6	1	S	1	S	1	S	1	S	1	S	1	S	1	S	n	n
27-Nov	samwt	f	7	0	0	0	0	1	S	0	0	0	0	0	0	0	0	n	n
27-Nov	samwt	f	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	n
27-Nov	samwt	f	9	0	0	1	S	1	S	0	0	1	S	1	S	0	0	n	n
27-Nov	samwt	f	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	n
27-Nov	samwt	f	11	0	0	1	S	0	0	0	0	1	w	0	0	1	w	n	n
27-Nov	samwt	f	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	n
27-Nov	oresde3	f	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	y
27-Nov	oresde3	f	2	0	0	0	0	0	0	1	S	0	0	0	0	1	S	n	y
27-Nov	oresde3	f	3	0	0	1	S	1	w	0	0	0	0	0	0	1	w	n	y
27-Nov	oresde3	f	1	0	0	0	0	0	0	1	S	1	S	1	S	1	S	n	n
27-Nov	oresde3	f	2	1	S	1	S	0	0	0	0	0	0	0	0	0	0	n	n
27-Nov	oresde3	f	3	0	0	0	0	0	0	1	S	1	S	0	0	0	0	n	n
27-Nov	samsde3	f	1	0	0	1	w	0	0	0	0	1	S	1	S	1	S	n	y
27-Nov	samsde3	f	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	y
27-Nov	samsde3	f	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	y
27-Nov	samsde3	f	4	0	0	1	w	1	w	1	w	1	w	1	w	1	w	n	y
27-Nov	samsde3	f	5	0	0	0	0	1	w	0	0	0	0	0	0	0	0	n	y
27-Nov	samsde3	f	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	y
27-Nov	samsde3	f	7	0	0	1	w	1	S	0	0	0	0	1	w	0	0	n	y
27-Nov	samsde3	f	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	y
27-Nov	samsde3	f	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	n
27-Nov	samsde3	f	2	0	0	1	w	1	w	0	0	1	w	1	w	0	0	n	n
27-Nov	samsde3	f	3	0	0	0	0	0	0	1	S	1	S	0	0	0	0	n	n
27-Nov	samsde3	f	4	0	0	1	w	0	0	0	0	1	w	0	0	0	0	n	n
27-Nov	samsde3	f	5	0	0	1	w	0	0	0	0	0	0	0	0	0	0	n	n
27-Nov	samsde3	f	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	n
27-Nov	samsde3	f	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	n
27-Nov	samsde3	f	8	0	0	0	0	0	0	0	0	1	w	0	0	0	0	n	n
27-Nov	oresde3	m	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	n	y
27-Nov	oresde3	m	2	0	0	1	S	1	S	0	0	0	0	0	0	1	S	n	y
